id,label,description,x,y,weight,cluster
426,chromatogr,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CHROMATOGRAPHIA</TD></TR><TR><TD>Subject category:</TD><TD>BIOCHEMICAL RESEARCH METHODS<BR>CHEMISTRY, ANALYTICAL</TD></TR></TABLE>",-12.061155,-14.937475,140.990000,2
427,chromosoma,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CHROMOSOMA</TD></TR><TR><TD>Subject category:</TD><TD>BIOCHEMISTRY & MOLECULAR BIOLOGY<BR>GENETICS & HEREDITY</TD></TR></TABLE>",-34.281169,-5.127297,53.869000,11
428,circulation,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CIRCULATION</TD></TR><TR><TD>Subject category:</TD><TD>CARDIAC & CARDIOVASCULAR SYSTEMS<BR>HEMATOLOGY<BR>PERIPHERAL VASCULAR DISEASE</TD></TR></TABLE>",-11.288078,46.525806,3782.700000,10
429,circul res,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CIRCULATION RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>CARDIAC & CARDIOVASCULAR SYSTEMS<BR>HEMATOLOGY<BR>PERIPHERAL VASCULAR DISEASE</TD></TR></TABLE>",-41.339606,20.050899,801.820000,10
430,clay miner,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLAY MINERALS</TD></TR><TR><TD>Subject category:</TD><TD>MINERALOGY</TD></TR></TABLE>",-17.056353,-52.527611,41.451000,9
431,clay clay m,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLAYS AND CLAY MINERALS</TD></TR><TR><TD>Subject category:</TD><TD>GEOSCIENCES, MULTIDISCIPLINARY<BR>MINERALOGY<BR>SOIL SCIENCE<BR>WATER RESOURCES</TD></TR></TABLE>",-17.079621,-52.475714,84.195000,9
432,clim change,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLIMATIC CHANGE</TD></TR><TR><TD>Subject category:</TD><TD>ENVIRONMENTAL SCIENCES<BR>METEOROLOGY & ATMOSPHERIC SCIENCES</TD></TR></TABLE>",-25.285421,-36.588712,172.440000,9
433,clin chim a,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICA CHIMICA ACTA</TD></TR><TR><TD>Subject category:</TD><TD>MEDICAL LABORATORY TECHNOLOGY</TD></TR></TABLE>",-39.928562,22.390797,262.550000,10
434,clin exp d,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL AND EXPERIMENTAL DERMATOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>DERMATOLOGY</TD></TR></TABLE>",-38.286302,29.112239,118.410000,12
435,clin exp im,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL AND EXPERIMENTAL IMMUNOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>IMMUNOLOGY</TD></TR></TABLE>",-29.383915,17.058316,237.150000,15
436,clin exp ph,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>PHARMACOLOGY & PHARMACY<BR>PHYSIOLOGY</TD></TR></TABLE>",-44.747293,21.715978,128.950000,10
437,clin lab h,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL AND LABORATORY HAEMATOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>HEMATOLOGY</TD></TR></TABLE>",-28.272143,22.141383,42.103000,12
438,clin bioch,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL BIOCHEMISTRY</TD></TR><TR><TD>Subject category:</TD><TD>MEDICAL LABORATORY TECHNOLOGY</TD></TR></TABLE>",-38.857603,21.660024,134.400000,10
439,clin chem,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL CHEMISTRY</TD></TR><TR><TD>Subject category:</TD><TD>MEDICAL LABORATORY TECHNOLOGY</TD></TR></TABLE>",-37.749632,22.412189,519.290000,10
440,clin endocr,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL ENDOCRINOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>ENDOCRINOLOGY & METABOLISM</TD></TR></TABLE>",-11.172535,21.452665,266.520000,10
441,clin genet,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL GENETICS</TD></TR><TR><TD>Subject category:</TD><TD>GENETICS & HEREDITY</TD></TR></TABLE>",-16.359599,19.965181,125.660000,10
442,clin nephr,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL NEPHROLOGY</TD></TR><TR><TD>Subject category:</TD><TD>UROLOGY & NEPHROLOGY</TD></TR></TABLE>",-16.966712,26.590074,103.000000,10
443,clin neurol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL NEUROLOGY AND NEUROSURGERY</TD></TR><TR><TD>Subject category:</TD><TD>CLINICAL NEUROLOGY<BR>SURGERY</TD></TR></TABLE>",-0.876320,43.385650,69.429000,7
444,clin nucl m,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL NUCLEAR MEDICINE</TD></TR><TR><TD>Subject category:</TD><TD>RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING</TD></TR></TABLE>",-16.937167,37.070949,68.306000,12
445,clinical on,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL ONCOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>ONCOLOGY</TD></TR></TABLE>",-31.468302,35.476535,42.293000,12
446,clin orthop,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL ORTHOPAEDICS AND RELATED RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>ORTHOPEDICS<BR>SURGERY</TD></TR></TABLE>",-5.959122,53.136758,751.150000,7
447,clin otolar,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL OTOLARYNGOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>OTORHINOLARYNGOLOGY</TD></TR></TABLE>",-26.468595,47.203986,111.760000,7
448,clin pediat,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL PEDIATRICS</TD></TR><TR><TD>Subject category:</TD><TD>PEDIATRICS</TD></TR></TABLE>",-7.463316,32.337298,56.508000,1
449,clin pharma,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL PHARMACOKINETICS</TD></TR><TR><TD>Subject category:</TD><TD>PHARMACOLOGY & PHARMACY</TD></TR></TABLE>",-3.704835,10.780488,160.780000,10
450,clin pharm,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL PHARMACOLOGY & THERAPEUTICS</TD></TR><TR><TD>Subject category:</TD><TD>PHARMACOLOGY & PHARMACY</TD></TR></TABLE>",-4.645306,10.811898,194.750000,10
451,clin radiol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL RADIOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING</TD></TR></TABLE>",-21.403603,41.392456,163.490000,7
452,clin sci,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>MEDICINE, RESEARCH & EXPERIMENTAL</TD></TR></TABLE>",-40.935280,24.728976,153.300000,10
453,clin ther,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICAL THERAPEUTICS</TD></TR><TR><TD>Subject category:</TD><TD>PHARMACOLOGY & PHARMACY</TD></TR></TABLE>",-6.014945,24.659574,198.650000,10
454,clin perin,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICS IN PERINATOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>OBSTETRICS & GYNECOLOGY<BR>PEDIATRICS</TD></TR></TABLE>",-10.444607,32.353589,48.922000,12
455,clin plast,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CLINICS IN PLASTIC SURGERY</TD></TR><TR><TD>Subject category:</TD><TD>SURGERY</TD></TR></TABLE>",-29.975692,44.388928,56.255000,7
456,coast eng,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COASTAL ENGINEERING</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, CIVIL<BR>ENGINEERING, OCEAN</TD></TR></TABLE>",-10.596947,-42.494881,105.630000,9
457,cognition,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COGNITION</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, EXPERIMENTAL</TD></TR></TABLE>",20.010214,17.488812,188.480000,3
458,cog psychol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COGNITIVE PSYCHOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, EXPERIMENTAL<BR>PSYCHOLOGY, MULTIDISCIPLINARY</TD></TR></TABLE>",19.512522,17.821513,80.985000,3
459,cogn ther r,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COGNITIVE THERAPY AND RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, CLINICAL</TD></TR></TABLE>",19.722033,35.036897,69.312000,1
460,cold reg sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLD REGIONS SCIENCE AND TECHNOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, CIVIL<BR>ENGINEERING, ENVIRONMENTAL<BR>GEOSCIENCES, MULTIDISCIPLINARY</TD></TR></TABLE>",-23.954265,-40.480816,49.827000,9
461,coll czech,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLLECTION OF CZECHOSLOVAK CHEMICAL COMMUNICATIONS</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, MULTIDISCIPLINARY</TD></TR></TABLE>",1.257106,-11.005199,66.832000,6
462,coll res li,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLLEGE & RESEARCH LIBRARIES</TD></TR><TR><TD>Subject category:</TD><TD>INFORMATION SCIENCE & LIBRARY SCIENCE</TD></TR></TABLE>",26.784318,4.568649,55.568000,3
463,colloid p s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLLOID AND POLYMER SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, PHYSICAL<BR>POLYMER SCIENCE</TD></TR></TABLE>",7.752179,-16.430144,146.270000,13
464,col res app,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLOR RESEARCH AND APPLICATION</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, CHEMICAL</TD></TR></TABLE>",16.773377,-6.536520,58.362000,9
465,columb law,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COLUMBIA LAW REVIEW</TD></TR><TR><TD>Subject category:</TD><TD>LAW</TD></TR></TABLE>",54.380606,19.591156,113.480000,3
466,comb flame,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMBUSTION AND FLAME</TD></TR><TR><TD>Subject category:</TD><TD>ENERGY & FUELS<BR>ENGINEERING, CHEMICAL<BR>ENGINEERING, MULTIDISCIPLINARY<BR>THERMODYNAMICS</TD></TR></TABLE>",23.681955,-28.483354,370.830000,8
467,comb expl r,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMBUSTION EXPLOSION AND SHOCK WAVES</TD></TR><TR><TD>Subject category:</TD><TD>ENERGY & FUELS<BR>ENGINEERING, CHEMICAL<BR>ENGINEERING, MULTIDISCIPLINARY<BR>MATERIALS SCIENCE, MULTIDISCIPLINARY<BR>THERMODYNAMICS</TD></TR></TABLE>",22.598541,-28.979510,74.240000,8
468,comb sci t,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMBUSTION SCIENCE AND TECHNOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>ENERGY & FUELS<BR>ENGINEERING, CHEMICAL<BR>ENGINEERING, MULTIDISCIPLINARY<BR>THERMODYNAMICS</TD></TR></TABLE>",23.216752,-28.557050,109.740000,8
469,comm math h,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMENTARII MATHEMATICI HELVETICI</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS</TD></TR></TABLE>",51.690763,-27.941826,58.011000,8
470,comm res,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATION RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>COMMUNICATION</TD></TR></TABLE>",31.408310,20.120686,58.075000,3
471,comm algeb,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATIONS IN ALGEBRA</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS</TD></TR></TABLE>",52.827458,-21.138810,275.340000,8
472,comm math p,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATIONS IN MATHEMATICAL PHYSICS</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, MATHEMATICAL</TD></TR></TABLE>",44.853359,-30.597477,455.260000,8
473,comm soil s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS</TD></TR><TR><TD>Subject category:</TD><TD>AGRONOMY<BR>CHEMISTRY, ANALYTICAL<BR>PLANT SCIENCES<BR>SOIL SCIENCE</TD></TR></TABLE>",-22.088884,-26.638588,134.240000,14
474,comm acm,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATIONS OF THE ACM</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, HARDWARE & ARCHITECTURE<BR>COMPUTER SCIENCE, SOFTWARE ENGINEERING<BR>COMPUTER SCIENCE, THEORY & METHODS</TD></TR></TABLE>",30.802108,3.124382,302.300000,3
475,com pa math,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS<BR>MATHEMATICS, APPLIED</TD></TR></TABLE>",43.098692,-29.310125,142.950000,8
476,comm den or,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>DENTISTRY, ORAL SURGERY & MEDICINE<BR>PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH</TD></TR></TABLE>",-40.075177,43.235377,123.090000,7
477,comm ment h,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMMUNITY MENTAL HEALTH JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>HEALTH POLICY & SERVICES<BR>PSYCHIATRY<BR>PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH</TD></TR></TABLE>",19.146465,37.343214,46.414000,1
478,comp bioc b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>BIOCHEMISTRY & MOLECULAR BIOLOGY<BR>ZOOLOGY</TD></TR></TABLE>",-49.180992,-15.193335,168.320000,2
479,comp poli s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPARATIVE POLITICAL STUDIES</TD></TR><TR><TD>Subject category:</TD><TD>POLITICAL SCIENCE</TD></TR></TABLE>",46.919468,20.057491,78.114000,3
480,comp stud s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPARATIVE STUDIES IN SOCIETY AND HISTORY</TD></TR><TR><TD>Subject category:</TD><TD>ANTHROPOLOGY<BR>HISTORY<BR>SOCIOLOGY</TD></TR></TABLE>",42.534430,27.354901,65.558000,3
481,comp math,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPOSITIO MATHEMATICA</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS</TD></TR></TABLE>",51.737196,-26.731195,102.600000,8
482,comp psychi,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPREHENSIVE PSYCHIATRY</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHIATRY</TD></TR></TABLE>",15.641709,36.295379,80.087000,1
483,computer,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, HARDWARE & ARCHITECTURE<BR>COMPUTER SCIENCE, SOFTWARE ENGINEERING</TD></TR></TABLE>",30.426614,-7.489309,238.030000,9
484,comput comm,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER COMMUNICATIONS</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INFORMATION SYSTEMS<BR>ENGINEERING, ELECTRICAL & ELECTRONIC<BR>TELECOMMUNICATIONS</TD></TR></TABLE>",28.880636,-8.424561,91.347000,9
485,computer j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, HARDWARE & ARCHITECTURE<BR>COMPUTER SCIENCE, INFORMATION SYSTEMS<BR>COMPUTER SCIENCE, SOFTWARE ENGINEERING</TD></TR></TABLE>",32.326281,-7.162448,39.896000,9
486,comput meth,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, MULTIDISCIPLINARY<BR>MATHEMATICS, INTERDISCIPLINARY APPLICATIONS<BR>MECHANICS</TD></TR></TABLE>",34.160024,-28.715428,518.230000,8
487,comput netw,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER NETWORKS AND ISDN SYSTEMS</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INFORMATION SYSTEMS<BR>ENGINEERING, ELECTRICAL & ELECTRONIC<BR>TELECOMMUNICATIONS</TD></TR></TABLE>",28.244650,0.993220,34.687000,9
488,comput phys,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER PHYSICS COMMUNICATIONS</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>PHYSICS, MATHEMATICAL</TD></TR></TABLE>",24.839266,-43.016015,267.430000,8
489,comput aid,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTER-AIDED DESIGN</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, SOFTWARE ENGINEERING</TD></TR></TABLE>",34.438589,-12.182495,148.230000,9
490,comput ch e,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & CHEMICAL ENGINEERING</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>ENGINEERING, CHEMICAL</TD></TR></TABLE>",16.010490,-14.906629,261.010000,9
491,comput educ,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & EDUCATION</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>EDUCATION & EDUCATIONAL RESEARCH</TD></TR></TABLE>",30.913578,28.703538,87.198000,3
492,comput flu,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & FLUIDS</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>MECHANICS</TD></TR></TABLE>",28.318270,-25.485194,78.528000,8
493,comput geos,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & GEOSCIENCES</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>GEOSCIENCES, MULTIDISCIPLINARY</TD></TR></TABLE>",-13.812266,-40.915602,142.190000,9
494,com ind eng,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & INDUSTRIAL ENGINEERING</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>ENGINEERING, INDUSTRIAL</TD></TR></TABLE>",37.411170,-3.693626,106.390000,3
495,comput stru,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS & STRUCTURES</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>ENGINEERING, CIVIL</TD></TR></TABLE>",34.477582,-33.386912,314.710000,8
496,comput biol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTERS IN BIOLOGY AND MEDICINE</TD></TR><TR><TD>Subject category:</TD><TD>BIOLOGY<BR>COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS<BR>ENGINEERING, BIOMEDICAL<BR>MATHEMATICAL & COMPUTATIONAL BIOLOGY</TD></TR></TABLE>",17.960179,3.544958,40.963000,7
497,computing,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COMPUTING</TD></TR><TR><TD>Subject category:</TD><TD>COMPUTER SCIENCE, THEORY & METHODS</TD></TR></TABLE>",38.874248,-18.067401,58.705000,8
498,condor,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONDOR</TD></TR><TR><TD>Subject category:</TD><TD>ORNITHOLOGY</TD></TR></TABLE>",-40.839977,-26.193138,128.670000,14
499,connect tis,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONNECTIVE TISSUE RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>CELL BIOLOGY<BR>ORTHOPEDICS</TD></TR></TABLE>",-39.802674,37.612171,29.814000,7
500,contact der,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONTACT DERMATITIS</TD></TR><TR><TD>Subject category:</TD><TD>ALLERGY<BR>DERMATOLOGY</TD></TR></TABLE>",-40.354618,30.845399,183.410000,12
501,cont ed psy,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONTEMPORARY EDUCATIONAL PSYCHOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, EDUCATIONAL</TD></TR></TABLE>",29.535375,32.016504,52.385000,3
502,cont phys,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONTEMPORARY PHYSICS</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, MULTIDISCIPLINARY</TD></TR></TABLE>",26.324865,-41.109071,38.913000,8
503,contracept,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONTRACEPTION</TD></TR><TR><TD>Subject category:</TD><TD>OBSTETRICS & GYNECOLOGY</TD></TR></TABLE>",3.760438,20.591720,168.910000,12
504,contr min p,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CONTRIBUTIONS TO MINERALOGY AND PETROLOGY</TD></TR><TR><TD>Subject category:</TD><TD>GEOCHEMISTRY & GEOPHYSICS<BR>MINERALOGY</TD></TR></TABLE>",-20.364460,-50.701259,162.480000,9
505,coord ch re,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COORDINATION CHEMISTRY REVIEWS</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, INORGANIC & NUCLEAR</TD></TR></TABLE>",2.676219,-14.332748,604.480000,6
506,copeia,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>COPEIA</TD></TR><TR><TD>Subject category:</TD><TD>ZOOLOGY</TD></TR></TABLE>",-43.648731,-23.053645,118.560000,14
507,cornell l r,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CORNELL LAW REVIEW</TD></TR><TR><TD>Subject category:</TD><TD>LAW</TD></TR></TABLE>",54.173033,19.312797,53.397000,3
508,corrosion,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CORROSION</TD></TR><TR><TD>Subject category:</TD><TD>MATERIALS SCIENCE, MULTIDISCIPLINARY<BR>METALLURGY & METALLURGICAL ENGINEERING</TD></TR></TABLE>",2.327057,-36.901768,154.660000,13
509,corros sci,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CORROSION SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>MATERIALS SCIENCE, MULTIDISCIPLINARY<BR>METALLURGY & METALLURGICAL ENGINEERING</TD></TR></TABLE>",2.547117,-36.844655,396.050000,5
510,cortex,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CORTEX</TD></TR><TR><TD>Subject category:</TD><TD>BEHAVIORAL SCIENCES<BR>NEUROSCIENCES</TD></TR></TABLE>",15.565353,22.088945,54.082000,4
511,crime delin,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRIME & DELINQUENCY</TD></TR><TR><TD>Subject category:</TD><TD>CRIMINOLOGY & PENOLOGY</TD></TR></TABLE>",27.616462,28.789030,39.611000,3
512,crim just b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRIMINAL JUSTICE AND BEHAVIOR</TD></TR><TR><TD>Subject category:</TD><TD>CRIMINOLOGY & PENOLOGY<BR>PSYCHOLOGY, CLINICAL</TD></TR></TABLE>",20.908184,30.768352,58.700000,1
513,criminology,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRIMINOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>CRIMINOLOGY & PENOLOGY</TD></TR></TABLE>",27.214015,28.191116,104.420000,3
514,crit care m,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRITICAL CARE MEDICINE</TD></TR><TR><TD>Subject category:</TD><TD>CRITICAL CARE MEDICINE</TD></TR></TABLE>",-9.348098,37.099091,783.450000,10
515,crit inq,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRITICAL INQUIRY</TD></TR><TR><TD>Subject category:</TD><TD>HUMANITIES, MULTIDISCIPLINARY</TD></TR></TABLE>",44.407533,26.591128,128.360000,3
516,croat chem,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CROATICA CHEMICA ACTA</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, MULTIDISCIPLINARY</TD></TR></TABLE>",-5.673755,-20.394530,48.040000,6
517,crop sci,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CROP SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>AGRONOMY</TD></TR></TABLE>",-25.797692,-20.175060,504.320000,14
518,crustaceana,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRUSTACEANA</TD></TR><TR><TD>Subject category:</TD><TD>MARINE & FRESHWATER BIOLOGY</TD></TR></TABLE>",-45.626776,-31.166909,68.452000,14
519,cryobiology,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRYOBIOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>BIOLOGY<BR>PHYSIOLOGY</TD></TR></TABLE>",-34.665184,0.056904,87.802000,2
520,cryogenics,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>CRYOGENICS</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, APPLIED<BR>THERMODYNAMICS</TD></TR></TABLE>",14.360134,-41.566538,122.770000,5
