id,label,description,x,y,weight,cluster
24,act phy p b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PHYSICA POLONICA B</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, MULTIDISCIPLINARY</TD></TR></TABLE>",24.283441,-44.062091,96.534000,8
25,act physl s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PHYSIOLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>PHYSIOLOGY</TD></TR></TABLE>",-46.625876,20.367343,116.870000,10
26,act protoz,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PROTOZOOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>MICROBIOLOGY</TD></TR></TABLE>",-44.470338,-10.273179,33.706000,14
27,act psyc sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PSYCHIATRICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHIATRY</TD></TR></TABLE>",15.808769,37.833660,255.390000,1
28,act psychol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PSYCHOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, EXPERIMENTAL</TD></TR></TABLE>",18.890150,16.682342,63.076000,3
29,act theriol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA THERIOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>ZOOLOGY</TD></TR></TABLE>",-44.834246,-27.592090,41.429000,14
30,act trop,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA TROPICA</TD></TR><TR><TD>Subject category:</TD><TD>PARASITOLOGY<BR>TROPICAL MEDICINE</TD></TR></TABLE>",-41.968511,-4.402257,144.680000,12
31,act vet b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA VETERINARIA BRNO</TD></TR><TR><TD>Subject category:</TD><TD>VETERINARY SCIENCES</TD></TR></TABLE>",-47.797472,2.549792,41.868000,2
32,acustica,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACUSTICA</TD></TR><TR><TD>Subject category:</TD><TD>ACOUSTICS</TD></TR></TABLE>",19.163965,-4.476111,36.421000,8
33,adm sci qua,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADMINISTRATIVE SCIENCE QUARTERLY</TD></TR><TR><TD>Subject category:</TD><TD>BUSINESS<BR>MANAGEMENT</TD></TR></TABLE>",35.968006,13.222533,126.790000,3
34,adolescence,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADOLESCENCE</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, DEVELOPMENTAL</TD></TR></TABLE>",26.076765,31.815533,55.361000,1
35,adv appl p,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADVANCES IN APPLIED PROBABILITY</TD></TR><TR><TD>Subject category:</TD><TD>STATISTICS & PROBABILITY</TD></TR></TABLE>",43.593469,-8.192961,72.549000,3
36,adv coll in,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADVANCES IN COLLOID AND INTERFACE SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, PHYSICAL</TD></TR></TABLE>",-5.062235,-34.990196,158.330000,13
37,adv math,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADVANCES IN MATHEMATICS</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS</TD></TR></TABLE>",53.625959,-28.156421,211.130000,8
38,adv physics,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ADVANCES IN PHYSICS</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, CONDENSED MATTER</TD></TR></TABLE>",25.850239,-39.443698,88.315000,5
39,aeronaut j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AERONAUTICAL JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, AEROSPACE</TD></TR></TABLE>",27.084592,-24.910485,37.632000,8
40,aes plas su,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AESTHETIC PLASTIC SURGERY</TD></TR><TR><TD>Subject category:</TD><TD>SURGERY</TD></TR></TABLE>",-29.987805,44.815766,60.162000,7
41,afr affairs,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AFRICAN AFFAIRS</TD></TR><TR><TD>Subject category:</TD><TD>AREA STUDIES</TD></TR></TABLE>",45.392129,24.758097,44.954000,3
42,afr j ecol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AFRICAN JOURNAL OF ECOLOGY</TD></TR><TR><TD>Subject category:</TD><TD>ECOLOGY</TD></TR></TABLE>",-45.320343,-29.125870,53.813000,14
43,age ageing,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AGE AND AGEING</TD></TR><TR><TD>Subject category:</TD><TD>GERIATRICS & GERONTOLOGY</TD></TR></TABLE>",8.348743,39.985342,137.500000,1
44,aggr behav,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AGGRESSIVE BEHAVIOR</TD></TR><TR><TD>Subject category:</TD><TD>BEHAVIORAL SCIENCES<BR>PSYCHOLOGY, MULTIDISCIPLINARY</TD></TR></TABLE>",22.883396,28.356208,44.914000,1
45,agr syst,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AGRICULTURAL SYSTEMS</TD></TR><TR><TD>Subject category:</TD><TD>AGRICULTURE, MULTIDISCIPLINARY</TD></TR></TABLE>",-24.220391,-30.634851,113.480000,14
46,agr water m,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AGRICULTURAL WATER MANAGEMENT</TD></TR><TR><TD>Subject category:</TD><TD>AGRONOMY<BR>WATER RESOURCES</TD></TR></TABLE>",-22.387037,-30.102811,172.330000,14
47,agron j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AGRONOMY JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>AGRONOMY</TD></TR></TABLE>",-25.468494,-21.685780,294.370000,14
48,aiaa j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AIAA JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, AEROSPACE</TD></TR></TABLE>",27.655362,-25.035550,427.410000,8
49,aiche j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AICHE JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, CHEMICAL</TD></TR></TABLE>",-4.637999,-31.824623,426.240000,13
50,alc clin ex,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>SUBSTANCE ABUSE</TD></TR></TABLE>",18.254118,43.649320,281.060000,1
51,allergy,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ALLERGY</TD></TR><TR><TD>Subject category:</TD><TD>ALLERGY<BR>IMMUNOLOGY</TD></TR></TABLE>",-42.970202,30.215499,304.410000,10
52,ambio,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMBIO</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, ENVIRONMENTAL<BR>ENVIRONMENTAL SCIENCES</TD></TR></TABLE>",-35.832366,-40.607102,96.963000,14
53,am anthrop,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN ANTHROPOLOGIST</TD></TR><TR><TD>Subject category:</TD><TD>ANTHROPOLOGY</TD></TR></TABLE>",41.143719,28.898687,100.930000,3
54,am antiquit,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN ANTIQUITY</TD></TR><TR><TD>Subject category:</TD><TD>ANTHROPOLOGY<BR>ARCHAEOLOGY</TD></TR></TABLE>",-31.536878,-43.891061,64.814000,9
55,am behav sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN BEHAVIORAL SCIENTIST</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, CLINICAL<BR>SOCIAL SCIENCES, INTERDISCIPLINARY</TD></TR></TABLE>",32.594194,22.807465,107.410000,3
56,am ceram s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN CERAMIC SOCIETY BULLETIN</TD></TR><TR><TD>Subject category:</TD><TD>MATERIALS SCIENCE, CERAMICS</TD></TR></TABLE>",4.383907,-32.144670,37.582000,5
57,am econ rev,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN ECONOMIC REVIEW</TD></TR><TR><TD>Subject category:</TD><TD>ECONOMICS</TD></TR></TABLE>",50.938001,10.154547,745.920000,3
58,am educ res,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN EDUCATIONAL RESEARCH JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>EDUCATION & EDUCATIONAL RESEARCH</TD></TR></TABLE>",31.749162,34.542119,80.070000,3
59,am fam phys,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN FAMILY PHYSICIAN</TD></TR><TR><TD>Subject category:</TD><TD>MEDICINE, GENERAL & INTERNAL</TD></TR></TABLE>",2.579549,44.909952,189.110000,12
60,am heart j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN HEART JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>CARDIAC & CARDIOVASCULAR SYSTEMS</TD></TR></TABLE>",-13.564018,47.729328,470.140000,10
61,am hist rev,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>AMERICAN HISTORICAL REVIEW</TD></TR><TR><TD>Subject category:</TD><TD>HISTORY</TD></TR></TABLE>",43.844645,28.180604,127.640000,3
